Actual_2024_Fatalities,RF_Predicted_Fatalities,AIS_RF_Predicted_Fatalities,ANN_Predicted_Fatalities,AIS_ANN_Predicted_Fatalities,Actual_Risk_Level,Predicted_Risk_Level
1090,732,903,923,1047,Medium,Medium
75,277,302,1283,940,Medium,Medium
226,228,220,1782,588,Low,Low
0,126,162,2382,484,Low,Low
4759,5149,4859,4708,4732,Medium,Medium
3880,3893,3956,1273,3994,Medium,Medium
1551,931,1298,3024,1510,High,High
72,180,239,2537,707,Low,Low
7949,8383,7920,14289,7936,High,High
4114,3962,4128,3254,4067,High,High
