Actual_2024_Fatalities,RF_Predicted_Fatalities,CSA_RF_Predicted_Fatalities,ANN_Predicted_Fatalities,CSA_ANN_Predicted_Fatalities,Actual_Risk_Level,Predicted_Risk_Level
1090,732,749,899,1088,Medium,Medium
75,277,259,1398,1440,Medium,Medium
226,228,226,1775,34,Low,Low
0,126,127,2661,0,Low,Low
4759,5149,4758,4664,4338,Medium,Medium
3880,3893,3874,1297,847,Medium,Medium
1551,931,997,3165,1524,High,High
72,180,194,2678,272,Low,Low
7949,8383,7945,13565,8269,High,High
4114,3962,4124,3213,4098,High,High
